1000 10000
946 84 1668
659 425 9988
38 158 7091
542 138 2238
498 142 2398
130 399 165
152 240 1133
983 928 7894
395 662 4921
92 68 4464
195 12 4898
863 22 321
203 410 3829
295 950 6965
533 798 4457
931 279 9206
448 429 4444
933 762 7370
827 155 3030
100 246 1449
916 791 4811
814 652 9831
487 205 3239
317 498 3539
634 382 2336
444 663 4613
650 110 1392
95 393 3152
817 219 9305
200 669 901
649 936 5690
460 748 1692
644 586 8896
235 253 744
775 237 3124
111 679 4786
76 328 2246
468 773 2989
620 588 8558
925 138 226
179 785 5160
869 596 8258
914 238 9842
810 471 6445
554 244 8681
31 705 7358
169 779 8036
767 597 8807
756 215 9746
315 491 3882
541 668 9018
53 887 3612
311 151 200
506 959 5669
951 864 6264
632 893 4319
343 412 4449
379 177 8044
539 931 4610
637 244 7099
871 135 9117
889 186 6354
853 848 504
53 352 6813
75 653 9675
339 636 4918
658 977 7328
107 706 5503
504 243 8785
114 878 3027
213 100 7513
682 987 4697
388 191 1895
892 242 6245
58 315 6897
85 4 2531
4 661 6858
684 118 1562
540 620 1804
325 732 32
704 295 6482
217 327 7468
267 66 5657
162 308 1249
408 364 9915
657 448 7917
540 802 9576
398 484 2045
312 22 7015
468 345 9098
853 48 1743
335 263 421
803 880 1485
812 41 1791
414 799 8154
329 454 6600
246 344 8400
175 92 7234
572 402 2255
587 869 4950
685 720 1996
781 53 3610
202 207 4488
687 369 2879
478 781 8676
984 460 5128
936 705 3822
688 230 8912
923 800 8313
178 737 180
480 773 898
477 552 3301
439 752 8506
279 789 1226
159 617 5
835 600 3816
316 534 1519
138 221 8099
51 494 9249
364 22 1984
896 500 1755
146 327 6657
447 764 4407
306 394 5546
532 551 9162
889 736 9760
705 50 6644
576 539 8215
675 940 1707
924 654 5727
261 548 5226
16 44 8551
26 489 5666
785 145 1058
332 675 3959
494 915 6693
606 618 7094
250 193 2631
818 218 8569
525 493 9573
605 752 3119
183 118 5513
86 142 1000
752 926 3496
162 256 1521
121 100 1434
167 704 7051
261 304 2594
244 120 9810
165 996 653
738 599 4403
209 780 5520
722 864 7012
74 967 6936
570 127 3542
444 599 9640
878 764 7694
281 375 7997
227 969 1467
390 132 3461
43 220 2410
447 427 3540
319 499 5403
331 571 2720
268 492 197
810 934 8146
803 162 3260
497 442 2633
846 19 1600
314 407 5082
127 449 6300
538 246 1077
78 563 8574
833 892 6144
905 510 9986
103 671 8918
601 472 7078
862 967 7870
847 812 3888
448 124 7645
882 601 7092
183 489 5688
612 918 6249
187 749 8492
683 5 9352
669 458 6021
939 57 4491
17 917 2457
240 763 4267
480 561 7741
125 441 2692
570 974 5180
258 937 5096
860 122 4195
704 803 5198
56 822 4654
78 759 7062
569 774 2977
378 364 4090
997 842 2001
90 318 1793
783 886 9765
963 494 9700
59 704 172
606 406 7325
805 461 1145
811 889 6902
873 456 8027
203 185 8741
645 180 6582
647 269 8250
440 50 8134
557 363 978
610 772 6681
782 376 6437
108 531 6896
605 341 3135
860 564 590
887 117 7125
628 761 4303
562 406 8922
812 844 970
298 399 4683
629 7 2453
310 140 4828
747 598 9709
996 201 9048
131 59 8963
73 296 6078
198 275 7189
854 835 1593
776 998 3787
99 646 3537
782 273 6894
236 581 4032
416 679 8628
125 25 8180
526 506 9589
489 578 884
919 126 7157
109 978 1342
54 105 1690
842 202 6335
379 982 2606
273 568 3538
658 982 5567
638 458 5590
170 982 3094
760 821 5022
996 90 2147
505 197 1475
199 602 5578
890 794 8130
225 171 7463
183 794 6029
721 802 5010
288 791 466
230 959 7798
325 717 9617
699 63 4705
198 566 253
674 764 4205
604 652 3997
87 227 9518
550 408 7662
579 480 2463
941 118 5252
759 347 561
557 22 5277
526 719 5690
584 916 6255
189 940 1017
394 894 8019
743 979 3596
261 527 4002
275 457 1832
738 396 9949
342 506 294
904 61 2314
533 938 7383
223 872 1297
830 59 4587
199 803 6480
570 896 1457
166 155 3335
521 428 1790
353 517 4536
654 209 2040
948 463 8452
614 346 3388
998 920 610
647 748 4019
235 298 7820
67 866 5066
524 31 6219
211 550 7997
353 253 2864
890 906 6072
930 204 885
734 817 6230
474 165 4148
84 162 7246
103 747 6542
275 812 6407
341 687 436
912 896 5336
262 248 2939
126 488 6843
550 768 6398
436 501 1213
18 973 7728
166 408 888
412 509 1634
307 135 6444
714 474 9481
502 737 1376
190 997 2974
129 473 2460
325 22 8226
75 808 8725
288 824 49
368 340 6455
608 102 8314
594 407 3447
391 471 3272
872 323 4007
248 511 6354
222 991 6825
34 666 4197
261 739 9355
986 377 8529
35 95 5867
842 701 1320
157 294 8725
604 35 3547
228 905 9868
235 504 5730
941 76 7719
119 109 1735
316 368 1472
24 704 7199
553 90 292
773 930 7991
93 437 4635
170 40 6668
717 266 3572
938 852 9426
668 143 4500
739 260 7607
474 927 3325
946 949 4028
145 852 6116
437 623 2396
780 714 4832
416 883 3222
436 950 838
360 886 8040
786 904 1182
287 641 9792
246 113 1717
572 409 9016
600 904 3867
68 691 4840
816 470 553
648 236 8786
222 670 3086
61 29 3323
453 165 5225
635 450 2865
428 695 7976
497 265 8384
866 215 7638
733 281 3328
573 447 9796
478 446 8030
616 666 1050
55 77 2429
378 529 1593
955 514 9393
820 292 7086
149 788 701
885 652 7914
523 735 7545
851 658 8343
647 487 8787
29 453 8451
432 506 879
213 234 7758
806 188 270
552 6 4561
638 505 8699
692 388 1701
958 910 3786
856 111 9794
199 109 279
986 488 3083
789 918 4939
20 130 9172
778 286 7358
49 836 8714
962 825 7570
13 867 5956
66 823 4216
204 29 9326
998 578 3785
630 914 9271
713 702 9540
4 72 7020
176 849 3304
886 248 491
953 208 5666
523 571 9531
831 635 2704
48 837 2732
726 185 4308
511 813 6221
134 876 3273
674 879 6343
694 405 9542
999 290 6788
842 593 8994
508 114 3915
391 943 548
95 341 1735
179 417 919
488 278 1082
61 411 8957
686 83 2186
29 128 3589
924 477 6877
712 317 3468
59 175 932
974 564 5226
875 9 6917
610 187 5333
881 25 6961
316 84 8370
273 768 1804
811 147 7930
400 69 6405
630 780 4072
450 189 245
383 161 7159
961 386 1166
878 347 1351
211 226 8374
173 540 8456
895 163 7574
51 972 2072
981 723 1491
738 351 2621
810 799 808
407 532 9968
566 491 3352
733 368 2697
84 929 5274
811 452 2164
619 698 8678
194 747 7000
618 727 721
109 815 9422
731 976 220
539 381 3102
859 298 592
564 29 5958
261 463 7237
887 272 8688
404 242 1384
82 434 7129
82 402 206
156 509 3372
578 238 4346
150 776 6077
253 633 9373
197 195 5400
507 807 8214
744 44 9836
784 446 5076
520 526 7860
2 959 260
208 113 3768
932 41 7356
278 190 9130
356 793 8114
729 340 7659
482 845 6816
48 587 859
884 722 8303
313 240 4180
173 240 5489
786 799 6600
906 729 5991
262 6 7531
393 712 674
859 791 6012
518 271 5855
687 317 3793
546 552 8513
201 863 4103
733 34 1342
222 170 9491
174 74 9218
518 335 7574
49 78 636
724 935 1426
736 803 1695
944 488 2363
89 384 6913
602 936 6774
57 19 6158
751 240 5327
242 764 751
461 280 7084
387 680 6160
24 402 2445
450 488 7247
497 782 85
860 869 1820
125 821 7106
899 877 123
410 626 2713
89 867 1476
840 678 5106
925 415 4784
437 43 7536
883 237 9375
482 733 6155
919 943 8023
739 67 6194
197 964 2069
321 724 6046
34 811 1263
862 650 6939
969 925 3352
105 360 1140
642 241 5375
369 721 4106
524 639 6048
899 728 4465
446 924 3427
515 595 4502
913 627 311
176 840 4311
115 159 7234
820 614 1593
312 606 6184
687 973 8256
146 848 7893
546 745 5971
11 541 3245
790 55 9838
292 966 4816
956 493 9654
267 606 2163
502 776 775
447 86 9380
631 124 7351
887 268 7197
132 164 3293
456 173 1832
701 313 1237
540 604 7554
708 910 2045
714 175 8001
877 27 5128
4 472 4564
384 102 1686
88 339 3304
637 470 5466
282 924 8989
467 975 7301
56 865 1255
610 571 1163
7 283 7688
361 510 1714
841 865 1184
405 247 8636
92 685 5974
748 673 3794
215 953 8068
556 770 8393
857 825 8257
464 785 5178
979 143 8812
668 502 1320
382 341 6183
918 96 2781
907 186 4816
881 933 9487
27 498 2791
447 52 6559
840 260 8382
97 74 2166
276 52 6307
88 70 5159
760 802 3850
296 718 6944
429 975 2481
245 854 3764
733 231 2612
524 676 1662
83 515 7272
818 610 4345
336 236 6747
995 674 5815
154 433 9615
356 79 5683
300 506 2657
133 749 2861
897 832 91
861 706 5117
524 140 3630
148 956 6591
845 642 9177
592 635 3850
407 139 4633
374 493 7710
410 143 8566
419 627 5665
632 874 8496
75 734 6200
193 608 1690
175 754 6996
766 598 636
296 188 5269
146 946 2406
131 670 2249
841 430 1743
407 847 3368
72 830 3592
920 903 2324
473 94 3930
163 620 5683
160 736 4631
796 30 4817
418 174 1113
176 655 3134
778 494 6562
873 251 6760
593 674 6588
185 944 2489
510 415 5934
440 929 6904
475 439 5638
106 585 7667
276 353 3191
741 528 6845
875 656 2689
438 527 9291
198 118 5963
138 301 257
979 809 2023
913 600 2950
817 73 2739
808 530 9322
475 156 7026
18 895 5552
863 769 6206
905 205 731
196 753 8847
511 241 498
768 218 5306
791 482 6256
93 649 2679
184 455 9207
859 280 3361
885 297 6255
789 510 7374
995 413 6929
78 607 1680
277 468 7271
775 235 3487
433 376 5319
689 820 6967
369 354 6772
576 211 6051
290 94 698
897 881 1206
271 226 6618
200 654 2575
232 929 5042
503 703 627
342 486 1353
662 174 6523
981 541 8876
753 467 4085
156 107 5530
854 2 8761
61 271 6338
31 469 8990
958 51 1918
352 552 1971
979 893 4455
685 905 1979
208 884 870
84 635 6688
522 790 2793
404 994 8146
165 53 3767
503 434 235
846 391 4636
764 741 5187
87 71 4430
894 754 1333
874 312 9215
96 747 1200
784 619 3340
930 21 6333
76 536 7736
843 390 4169
430 234 910
67 348 3001
606 433 1070
36 677 9174
721 549 7485
936 996 7582
488 778 7199
829 706 8218
514 132 2104
602 974 2492
771 754 1076
33 819 3422
35 423 4205
457 809 7881
632 528 2780
469 814 9774
51 301 5551
602 480 5607
820 344 1738
276 944 4062
769 66 2814
845 97 8984
268 482 7757
825 938 3565
706 920 443
487 387 1256
613 788 9907
516 388 9737
124 558 7079
214 832 6021
276 951 3437
442 795 3885
426 413 365
184 588 6653
101 293 5571
544 130 7308
800 741 9446
59 256 9184
796 730 1092
875 942 923
249 568 224
38 8 1017
923 433 5780
641 967 2367
294 66 5010
218 608 6490
878 759 229
677 168 835
861 963 3915
954 188 4855
229 787 6773
453 824 9780
823 745 5563
955 736 5528
674 381 9592
36 597 4550
526 825 1659
108 500 826
943 712 1787
859 16 4325
66 243 8111
840 46 2933
620 867 9028
535 173 6763
63 845 5494
7 880 8089
909 404 7264
569 862 6115
747 804 177
886 13 4191
211 77 1784
674 267 6828
607 237 3046
988 770 6217
103 831 1412
597 188 3642
38 96 9397
654 15 5257
769 760 2059
946 644 6422
137 205 498
273 878 115
102 835 2351
148 821 9119
717 274 2301
481 869 1487
124 257 3933
521 910 4946
778 677 1704
190 974 8698
612 461 254
462 733 8130
578 833 7963
929 331 5135
400 398 6407
701 877 3627
189 999 4882
122 870 3790
69 999 2818
125 187 5790
176 149 3249
430 962 3332
912 890 6515
227 817 2196
362 567 6592
122 267 3820
749 454 4817
983 926 8038
126 345 6035
944 821 7220
86 995 719
687 775 679
20 685 3567
535 910 1734
732 623 4300
324 743 3565
496 842 7369
666 175 3293
704 299 8989
739 593 9808
311 677 801
382 363 4926
62 381 7609
981 266 5869
716 996 8490
368 671 4583
285 165 7775
654 829 2949
299 883 6598
288 620 5190
96 281 865
249 662 9578
175 722 1957
784 53 7222
6 767 7568
496 485 3237
432 768 753
207 772 4932
508 70 3814
107 708 9784
297 803 64
514 402 1724
93 576 1796
402 710 3847
976 714 5965
545 561 2448
134 343 9567
239 900 8337
172 407 4757
986 512 1464
770 159 4617
186 671 5017
910 114 3943
58 515 2652
258 489 9716
223 32 3627
23 517 5320
590 754 6219
280 924 5624
37 260 6486
501 29 7643
118 213 2664
488 474 4777
431 530 2290
435 138 8777
504 359 8160
483 733 3675
804 673 2427
23 951 9350
999 987 960
485 838 7987
128 307 9551
792 793 7375
921 222 3255
211 8 7392
341 510 2101
501 991 9832
176 793 2856
955 166 6805
657 163 9142
618 646 1331
957 124 1636
508 267 1427
235 186 999
491 748 9357
883 87 9865
984 586 5207
169 112 7998
25 417 3515
182 73 4676
677 41 673
8 996 2795
644 855 6412
423 88 9949
774 929 5695
132 810 8780
349 145 3716
556 312 4178
907 687 2593
422 867 1016
450 894 407
123 900 8754
271 894 5607
683 667 1045
632 440 1973
327 922 5781
459 621 7276
175 176 9938
705 433 6623
651 205 6841
19 653 9733
427 775 6632
181 44 1876
140 725 542
185 708 6332
510 33 8604
644 843 7223
920 16 3749
859 72 2532
482 721 735
675 90 9387
409 867 9160
393 46 5554
269 536 2277
163 720 8335
847 228 367
451 222 6208
27 141 9574
776 998 996
661 830 3067
396 856 3156
783 263 8021
295 6 6418
849 625 3952
479 787 8022
814 632 601
181 434 3821
741 459 4960
668 585 308
664 244 6489
732 639 343
888 772 7956
261 66 2312
679 913 8935
632 390 1072
6 203 5055
607 734 9487
429 826 7944
741 492 6879
50 154 2474
891 884 9111
586 122 5233
542 382 7297
854 411 3561
141 393 9949
214 398 7502
269 3 235
756 782 3411
52 522 3901
283 922 9053
757 811 8288
220 395 4760
454 287 6492
751 491 6254
664 630 1645
614 842 7041
468 109 9395
55 215 6175
466 617 5047
367 899 6319
773 654 128
413 873 5873
173 325 1510
18 426 2999
272 89 1980
917 53 6820
311 519 5280
58 925 6845
585 389 9461
633 755 6358
952 878 10
433 289 2233
658 812 1908
521 828 6333
872 450 1772
852 718 1823
25 27 6692
657 83 6615
502 666 1355
315 649 8460
25 952 3336
388 735 6975
621 391 7785
530 910 4964
215 133 4764
987 983 2480
162 6 1505
206 13 3938
822 514 5955
529 179 2602
989 203 6552
325 589 4285
300 208 8027
437 88 9287
753 301 7418
518 638 752
998 798 6108
856 3 5120
794 175 984
101 702 3161
704 41 4362
608 364 949
246 14 1508
625 449 1594
264 201 3894
35 69 6530
787 65 7679
895 271 4032
15 416 8557
999 515 2609
513 569 4648
875 176 8010
177 772 2374
685 747 2821
631 9 3372
877 42 2439
408 179 8855
439 73 4124
471 438 8538
380 788 4404
989 299 7971
637 524 8497
999 699 267
373 734 364
546 364 1724
271 591 1764
710 997 3942
917 786 4365
394 607 1801
284 985 3587
688 972 9236
660 959 6759
157 956 9808
777 679 9893
141 224 2255
217 493 6196
982 553 9192
276 821 4328
641 213 2934
794 847 9917
382 534 4240
970 192 4197
729 699 504
538 474 5533
431 966 2107
38 181 3598
234 513 1502
778 139 4673
107 778 7236
393 923 4081
310 655 9613
550 623 8155
748 351 8205
604 239 29
137 20 3993
245 408 4525
195 992 3388
49 769 4526
722 226 8654
958 617 3927
392 277 7580
357 826 5202
513 924 3551
718 878 5140
747 13 7158
93 608 916
970 802 9906
710 201 6025
588 922 7249
595 230 9216
522 972 1844
103 328 6668
305 191 6942
208 259 3170
700 356 8181
210 447 3140
126 767 8940
32 828 6139
58 414 9411
659 7 5992
228 880 9962
72 981 3640
92 636 8829
34 842 86
204 540 7441
737 100 1238
877 224 2356
169 254 4182
661 662 3946
72 672 3952
416 898 830
731 968 2161
371 58 6795
201 442 987
639 996 9877
80 731 6975
671 959 3197
27 126 4801
209 785 1462
507 208 3132
811 974 5380
993 703 7346
154 73 4754
949 624 8194
936 261 7188
813 340 6269
140 361 2226
337 386 6703
139 945 9486
953 450 9044
437 260 5017
817 251 3718
163 756 5141
917 55 1763
463 990 23
651 153 3713
920 292 4072
499 979 9808
202 116 8751
40 419 7551
85 854 161
454 669 7411
172 182 517
666 449 3570
429 910 3910
804 911 5062
869 182 6704
941 679 2033
101 231 9500
852 269 6917
756 704 122
917 156 8141
680 679 8322
197 343 8121
768 122 9382
678 925 5643
92 792 6823
148 84 7852
182 183 9081
682 386 2701
599 140 1403
73 55 2910
215 734 4587
889 929 7928
362 695 1048
744 724 323
388 814 3114
563 961 2548
416 141 5729
849 173 4113
550 122 5251
306 194 5657
216 407 6389
803 294 668
83 654 5714
483 749 5436
807 487 7600
273 48 2559
821 462 5050
550 662 8221
16 210 5342
619 514 2886
276 80 6291
17 881 2935
38 314 939
752 796 6038
540 601 7523
140 224 8570
52 43 3382
454 943 1042
28 309 4251
722 927 7115
608 201 6194
899 569 2425
186 605 3738
477 355 7532
516 245 483
39 735 5705
609 137 2098
992 590 5391
34 616 9699
637 688 6624
105 294 8175
299 543 742
76 727 7697
814 202 8402
346 716 4645
181 106 6731
238 713 866
336 55 8454
728 440 420
779 427 2106
403 530 2750
930 179 2291
25 254 6368
722 66 9569
125 763 635
122 942 7091
853 179 1155
720 865 6208
526 943 5998
299 720 8424
757 473 6952
508 402 4130
151 425 2382
520 497 1798
441 972 3559
428 93 852
520 296 9381
675 366 1244
235 891 8186
234 540 6256
10 295 5728
314 153 7480
444 303 2255
178 821 7750
329 612 8721
888 38 6164
740 556 6810
121 581 5175
718 167 2416
256 399 8954
512 759 9599
592 71 751
72 866 1052
327 394 3223
430 721 6833
503 608 5221
19 698 9128
829 170 9707
356 886 5872
772 492 3621
78 2 1378
30 593 8800
781 15 3664
185 693 7408
760 121 9128
945 622 5086
166 991 9782
294 818 5302
2 173 6538
226 295 8028
200 724 6029
578 752 8972
730 883 4337
746 66 8028
155 176 499
283 119 471
369 283 460
503 576 7277
158 928 8800
696 504 7445
725 702 8519
754 631 5269
78 359 7502
415 104 3566
796 257 2092
295 890 7209
767 609 491
579 462 7417
856 618 1343
8 313 845
806 36 5898
325 140 1527
595 568 2884
449 333 6338
16 127 2945
460 773 1833
670 890 792
161 467 3253
578 674 7221
273 32 6532
470 836 1918
368 160 9408
895 105 7974
132 552 8306
470 918 4783
416 377 1554
601 45 5442
394 556 3260
999 484 5932
220 107 4962
105 575 7797
23 294 9307
432 539 8410
758 669 5312
64 138 7229
848 904 8956
754 855 4999
549 247 4905
809 596 3387
93 167 4492
55 270 5417
204 643 5709
511 425 3247
273 182 7266
938 596 7754
167 442 7656
475 547 1510
826 94 107
731 253 3054
470 344 1219
962 397 7487
731 952 128
793 813 4904
392 437 7084
658 373 7678
413 890 1471
421 363 16
283 187 1460
391 268 2711
445 736 6053
16 48 2800
503 777 750
983 920 5562
887 310 8349
971 319 1720
2 730 1960
473 501 5321
841 783 5858
301 524 2124
12 319 3858
65 333 1904
865 186 8031
968 167 7950
882 405 1258
231 726 1575
951 726 6655
263 549 507
584 388 8288
794 687 9162
918 697 9831
128 112 1514
32 976 1698
63 294 3215
13 174 4618
624 403 5695
551 704 1419
207 965 5967
66 899 9353
706 691 9391
868 607 2438
51 733 4549
565 115 4875
615 528 4167
830 892 4339
801 514 92
848 415 6794
267 972 9109
586 36 6006
940 740 9695
683 958 8652
121 7 6735
670 570 2200
897 535 6726
416 716 968
755 867 3480
199 713 1246
993 978 8216
102 563 1251
460 853 1341
507 886 1298
511 5 7303
246 26 7224
798 921 2757
877 336 9823
845 441 6688
678 639 5399
924 982 3728
492 435 7641
743 893 6492
437 399 2376
735 908 7731
390 505 755
614 301 9027
724 528 6713
547 372 8152
236 48 6141
987 322 1122
715 812 8555
356 906 798
848 341 1195
576 74 7454
308 462 9957
415 427 3608
442 501 5135
155 46 1857
660 632 903
801 618 6223
275 331 2385
182 686 4289
981 884 9628
528 811 6052
982 469 865
291 882 1290
252 675 2789
739 180 5185
596 838 8816
851 990 5432
426 615 8761
811 148 2797
101 127 4032
81 5 4841
134 986 9308
999 627 4540
641 877 9565
782 614 4744
967 560 932
783 409 4272
567 833 5886
681 995 7032
478 94 8509
510 173 7864
703 657 6200
11 6 9826
904 645 5053
469 425 7018
565 743 7576
498 524 3984
122 442 5167
8 121 7160
392 949 604
253 810 5128
118 511 6783
318 873 2788
496 775 783
550 594 3559
568 158 6300
144 6 4174
480 126 2614
1000 485 6733
160 227 2033
765 479 9841
245 947 1350
28 615 2221
168 110 3346
304 10 4291
863 576 3447
163 70 803
337 901 7927
952 899 3410
37 409 6988
70 524 4465
263 767 2762
614 146 5375
187 664 4835
886 966 9843
177 827 3769
976 988 4190
779 676 5089
706 978 4338
469 365 2745
457 786 3620
274 47 9385
388 659 5881
115 197 9544
951 81 7508
146 256 9686
268 582 6024
458 359 698
547 415 9026
237 234 1390
982 41 6174
954 665 3219
340 51 229
573 165 5776
117 466 6855
978 962 461
664 228 41
40 684 2750
91 581 163
117 816 8396
859 149 4435
33 101 9099
605 791 1500
186 363 7015
314 830 6831
169 158 792
982 172 9018
375 211 2053
125 300 4984
288 415 5799
36 625 6298
824 8 3749
275 611 3891
775 147 2604
143 459 9432
974 978 941
766 310 4111
137 683 1320
542 806 9618
526 445 4384
677 831 7007
975 653 13
77 278 2975
968 404 2472
924 545 4282
708 517 1610
649 634 4919
761 121 6952
81 661 4109
52 185 2904
436 861 1733
795 186 7737
160 613 13
487 931 6415
960 853 3958
594 560 5826
204 207 6458
475 966 7577
428 398 7588
537 448 8771
793 234 5982
526 27 5519
263 537 1130
629 23 9412
44 333 263
355 925 5821
181 479 3379
991 953 4343
920 731 2739
508 618 4537
631 409 7769
614 285 2146
485 899 7682
967 526 55
379 920 1738
643 273 661
816 804 7490
195 145 793
891 63 7522
982 569 4490
520 199 1897
641 163 533
788 646 5430
822 963 2954
229 341 5872
967 334 4496
980 148 4650
822 342 2794
616 583 9207
490 563 8775
981 433 9324
230 73 6837
763 211 481
545 383 442
499 610 6133
724 927 1465
220 905 8612
222 77 7304
16 691 8237
224 532 7798
351 511 3230
27 91 2301
864 205 9862
697 748 7243
491 598 851
625 320 8776
442 890 8031
406 462 6106
62 829 148
299 403 7678
98 752 9539
680 129 3980
333 991 5183
195 38 1282
438 527 5230
289 502 6548
417 943 8788
800 699 248
258 760 75
758 57 3828
436 505 7578
327 183 6057
308 514 3398
843 707 6434
125 143 8312
355 782 5164
255 549 8457
395 699 3155
996 308 2913
423 64 2320
252 851 2824
182 176 4005
240 482 4518
638 324 575
425 799 6717
737 505 2849
901 110 7749
359 504 9446
514 498 6752
779 271 9815
99 521 2664
923 702 1190
281 940 6671
799 928 3345
726 351 6142
795 86 2997
645 338 4106
394 695 4608
192 559 7456
945 336 2725
112 433 597
128 707 2297
318 986 6587
341 135 6865
686 859 9567
181 653 6651
178 648 2339
636 40 2384
596 230 9941
404 525 627
482 635 4059
79 113 2116
728 430 6100
667 121 9585
532 806 442
99 337 4445
103 865 8091
794 852 5481
179 446 6062
120 849 6585
748 329 9571
159 406 4034
627 484 4814
79 149 4934
664 31 4090
458 481 8425
904 582 3640
347 374 7490
181 903 935
243 22 4134
180 120 9813
751 277 8569
138 254 9051
952 331 4198
886 993 3579
976 801 4058
753 703 4990
746 401 2363
236 580 1264
523 173 1636
9 351 7754
822 453 6381
391 589 9633
442 539 6314
992 424 3305
572 750 105
982 854 1158
973 598 909
688 184 4839
304 58 9010
941 65 6360
47 886 9163
781 275 8750
766 68 6287
81 410 3061
738 980 3162
195 313 5014
706 284 4962
615 970 4144
807 272 6200
817 563 1616
529 609 7500
692 740 5125
794 504 3543
434 935 6952
495 672 5282
9 217 2593
375 921 227
337 887 4195
834 692 8466
386 859 7379
2 739 5986
854 429 6076
332 222 4579
875 654 6864
179 499 3534
814 859 102
759 232 5021
987 920 8258
182 104 8300
1000 488 4158
380 489 4895
718 693 9674
795 23 7246
726 249 250
590 778 8100
477 590 3957
579 348 5539
952 333 7809
211 865 4911
511 864 9398
21 242 9237
268 310 1928
295 103 5302
541 179 6549
792 768 5325
244 243 3266
553 820 6612
92 770 8295
254 331 6158
165 193 5020
915 212 8612
152 479 9273
433 772 6726
735 663 1904
636 805 1670
313 47 2263
579 598 7433
543 41 8553
190 293 3883
349 456 8074
721 370 1636
686 872 9465
959 303 7587
685 388 3249
589 374 3052
611 38 1450
226 967 6046
11 509 1437
565 49 2728
800 396 7535
226 116 8903
862 800 5125
328 109 1779
915 792 517
516 732 7890
569 693 1926
371 918 5891
417 279 2750
855 842 798
935 640 2544
470 216 3010
725 77 808
851 755 4267
630 668 1058
499 535 2140
389 102 2831
667 823 8099
911 238 5377
661 443 9569
811 729 4560
356 197 4774
366 921 1849
527 122 1602
794 102 1621
204 599 5154
344 339 1606
528 4 8779
979 913 15
356 925 5809
926 86 2536
486 792 4083
612 157 9354
462 34 3474
416 178 926
389 733 9524
895 75 9861
853 953 215
632 931 127
1000 285 1402
161 561 8486
49 397 277
132 8 9784
487 820 4168
313 234 1344
240 974 5075
764 867 7501
977 71 1452
192 701 1381
671 51 9017
425 210 3928
912 257 4324
541 388 7682
325 225 9500
845 888 4084
189 126 3056
617 240 4274
470 215 9343
922 758 3394
656 779 6444
25 203 652
953 465 1260
629 4 5998
311 679 4221
811 522 2107
896 61 584
304 676 2822
578 144 1388
273 417 6496
668 423 4625
464 446 826
116 397 6289
728 377 7643
726 686 8320
299 848 5192
759 94 3252
343 396 278
517 325 3773
257 596 5188
753 614 4961
379 76 9405
557 543 5152
199 621 6527
842 346 7564
515 643 1410
707 400 8502
311 93 1896
590 609 8571
363 864 5166
903 968 4130
864 697 5557
269 252 6450
773 801 8069
301 994 2765
865 507 8407
275 564 6157
129 874 249
25 814 9856
597 175 9070
115 76 8036
597 938 7731
506 557 5334
956 328 7133
378 979 7125
143 194 9982
550 819 897
708 946 3121
309 322 6933
165 269 6106
235 382 8532
624 329 6468
707 834 8375
41 140 6701
527 516 7031
652 10 4223
987 558 6041
884 616 985
5 923 7305
938 438 9924
396 24 7656
928 646 984
748 351 8168
123 743 9306
176 268 5173
207 270 2181
431 607 5089
824 489 56
161 844 7329
819 132 6766
743 526 140
400 804 2784
384 550 1485
552 23 1578
210 198 3844
383 755 4465
916 184 7070
6 358 8910
62 518 3104
391 335 235
509 76 2759
649 474 1914
433 208 1462
271 110 8836
849 319 8032
46 52 5137
863 967 1672
285 971 28
547 383 7544
652 772 7877
887 280 7304
998 279 776
912 63 8335
727 332 5443
563 531 4112
947 927 3163
84 140 7480
108 424 9449
137 969 8182
681 971 8304
911 856 6582
215 205 2212
343 115 5273
678 192 3603
122 105 1484
234 402 2762
749 485 1900
229 591 2322
30 78 5642
212 758 8611
517 19 7818
451 232 6021
663 573 1486
936 250 5677
891 722 3780
376 954 181
138 702 16
38 929 4957
713 958 1386
707 520 4142
670 35 6511
488 485 6741
509 498 4664
348 433 5912
25 322 8632
157 48 6937
690 536 7637
58 925 916
368 636 6224
754 693 1743
896 361 5776
407 848 7611
500 707 3108
164 53 3891
429 428 7211
413 936 3610
350 624 3144
339 33 4067
256 399 5053
832 151 1744
575 397 9104
704 154 1302
667 652 8007
775 166 3411
18 593 6837
582 357 1123
192 705 98
336 395 129
756 100 2526
161 831 8675
906 757 5422
362 459 6574
664 476 1576
671 602 8740
434 618 6684
624 198 4039
747 388 4094
845 75 839
974 181 8838
852 340 668
879 244 775
301 956 8584
875 618 8058
451 640 8658
544 72 4275
580 46 4823
971 792 1210
65 987 5635
257 312 5814
95 162 9504
115 40 2099
890 339 9053
474 565 1670
885 366 660
543 908 3082
170 838 2127
994 807 5269
556 223 6254
191 478 7916
357 571 77
861 37 467
960 925 8156
14 750 9719
36 633 9436
48 174 9694
130 695 3531
609 687 1336
878 241 9909
485 430 7385
401 137 5307
830 996 4342
297 955 1617
806 319 9365
877 705 8348
313 751 873
8 879 7566
539 487 9603
227 715 1842
137 198 2622
874 950 7757
533 130 6751
875 426 8056
845 582 725
562 457 6428
911 769 2177
136 775 1055
702 664 7892
305 889 7957
499 376 1154
121 249 4454
230 780 1582
333 6 9358
742 201 5938
467 761 3746
896 22 9513
73 156 5638
480 208 5652
372 863 4539
330 360 1266
836 831 6865
642 411 6643
224 743 3999
935 483 550
225 948 9310
971 842 7682
484 266 189
474 744 4395
